ProductKey,EmployeeKey,SalesAmount,TaxAmt,Freight,OrderDate
349,285,2024.994,161.9995,50.6249,2010-12-29 00:00:00.000
350,285,6074.982,485.9986,151.8746,2010-12-29 00:00:00.000
351,285,2024.994,161.9995,50.6249,2010-12-29 00:00:00.000
344,285,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
345,285,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
346,285,4079.988,326.399,101.9997,2010-12-29 00:00:00.000
347,285,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
229,285,86.5212,6.9217,2.163,2010-12-29 00:00:00.000
235,285,28.8404,2.3072,0.721,2010-12-29 00:00:00.000
218,285,34.20,2.736,0.855,2010-12-29 00:00:00.000
223,285,10.373,0.8298,0.2593,2010-12-29 00:00:00.000
220,285,80.746,6.4597,2.0187,2010-12-29 00:00:00.000
326,285,419.4589,33.5567,10.4865,2010-12-29 00:00:00.000
319,285,874.794,69.9835,21.8699,2010-12-29 00:00:00.000
300,288,809.76,64.7808,20.244,2010-12-29 00:00:00.000
296,288,714.7043,57.1763,17.8676,2010-12-29 00:00:00.000
304,288,1429.4086,114.3527,35.7352,2010-12-29 00:00:00.000
223,288,20.746,1.6597,0.5187,2010-12-29 00:00:00.000
232,288,115.3616,9.2289,2.884,2010-12-29 00:00:00.000
293,288,1445.1898,115.6152,36.1297,2010-12-29 00:00:00.000
348,288,6074.982,485.9986,151.8746,2010-12-29 00:00:00.000
351,288,4049.988,323.999,101.2497,2010-12-29 00:00:00.000
220,288,40.373,3.2298,1.0093,2010-12-29 00:00:00.000
292,288,1637.40,130.992,40.935,2010-12-29 00:00:00.000
349,288,8099.976,647.9981,202.4994,2010-12-29 00:00:00.000
346,288,4079.988,326.399,101.9997,2010-12-29 00:00:00.000
235,288,57.6808,4.6145,1.442,2010-12-29 00:00:00.000
350,288,4049.988,323.999,101.2497,2010-12-29 00:00:00.000
215,288,100.9325,8.0746,2.5233,2010-12-29 00:00:00.000
330,288,1258.3767,100.6701,31.4594,2010-12-29 00:00:00.000
342,288,2097.2945,167.7836,52.4324,2010-12-29 00:00:00.000
272,288,367.8764,29.4301,9.1969,2010-12-29 00:00:00.000
315,288,3499.176,279.9341,87.4794,2010-12-29 00:00:00.000
262,288,551.8146,44.1452,13.7954,2010-12-29 00:00:00.000
326,288,2097.2945,167.7836,52.4324,2010-12-29 00:00:00.000
332,288,1258.3767,100.6701,31.4594,2010-12-29 00:00:00.000
338,288,838.9178,67.1134,20.9729,2010-12-29 00:00:00.000
314,288,2146.962,171.757,53.6741,2010-12-29 00:00:00.000
317,288,874.794,69.9835,21.8699,2010-12-29 00:00:00.000
328,288,1258.3767,100.6701,31.4594,2010-12-29 00:00:00.000
275,288,356.898,28.5518,8.9225,2010-12-29 00:00:00.000
319,288,5248.764,419.9011,131.2191,2010-12-29 00:00:00.000
270,288,183.9382,14.7151,4.5985,2010-12-29 00:00:00.000
253,288,535.7424,42.8594,13.3936,2010-12-29 00:00:00.000
310,288,2146.962,171.757,53.6741,2010-12-29 00:00:00.000
322,288,1258.3767,100.6701,31.4594,2010-12-29 00:00:00.000
264,288,183.9382,14.7151,4.5985,2010-12-29 00:00:00.000
276,288,356.898,28.5518,8.9225,2010-12-29 00:00:00.000
285,288,178.5808,14.2865,4.4645,2010-12-29 00:00:00.000
334,288,1258.3767,100.6701,31.4594,2010-12-29 00:00:00.000
316,288,874.794,69.9835,21.8699,2010-12-29 00:00:00.000
322,282,419.4589,33.5567,10.4865,2010-12-29 00:00:00.000
345,286,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
348,286,8099.976,647.9981,202.4994,2010-12-29 00:00:00.000
229,286,28.8404,2.3072,0.721,2010-12-29 00:00:00.000
235,286,28.8404,2.3072,0.721,2010-12-29 00:00:00.000
350,286,4049.988,323.999,101.2497,2010-12-29 00:00:00.000
344,286,6119.982,489.5986,152.9996,2010-12-29 00:00:00.000
346,286,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
351,286,2024.994,161.9995,50.6249,2010-12-29 00:00:00.000
220,289,40.373,3.2298,1.0093,2010-12-29 00:00:00.000
346,289,2039.994,163.1995,50.9999,2010-12-29 00:00:00.000
212,289,20.1865,1.6149,0.5047,2010-12-29 00:00:00.000
232,289,57.6808,4.6145,1.442,2010-12-29 00:00:00.000
350,289,4049.988,323.999,101.2497,2010-12-29 00:00:00.000
223,289,10.373,0.8298,0.2593,2010-12-29 00:00:00.000
348,289,4049.988,323.999,101.2497,2010-12-29 00:00:00.000
351,289,2024.994,161.9995,50.6249,2010-12-29 00:00:00.000
218,289,34.20,2.736,0.855,2010-12-29 00:00:00.000
349,289,2024.994,161.9995,50.6249,2010-12-29 00:00:00.000
330,282,419.4589,33.5567,10.4865,2010-12-29 00:00:00.000
314,282,2146.962,171.757,53.6741,2010-12-29 00:00:00.000
275,282,356.898,28.5518,8.9225,2010-12-29 00:00:00.000
